a550962-4418532-051222-706_A03,FLxFL
a550962-4418532-051222-706_A05,FLxFL
a550962-4418532-051222-706_A07,FLxFL
a550962-4418532-051222-706_A09,FLxFL
a550962-4418532-051222-706_A11,FLxFL
a550962-4418532-051222-706_A15,FLxFL
a550962-4418532-051222-706_A19,FLxFL
a550962-4418532-051222-706_A21,FLxFL
a550962-4418532-051222-706_A23,FLxFL
a550962-4418532-051222-706_C01,FLxFL
a550962-4418532-051222-706_C03,FLxFL
a550962-4418532-051222-706_C05,FLxFL
a550962-4418532-051222-706_C07,FLxFL
a550962-4418532-051222-706_C11,FLxFL
a550962-4418532-051222-706_C13,FLxFL
a550962-4418532-051222-706_C17,FLxFL
a550962-4418532-051222-706_C19,FLxFL
a550962-4418532-051222-706_C21,FLxFL
a550962-4418532-051222-706_C23,FLxFL
a550962-4418532-051222-706_E01,FLxFL
a550962-4418532-051222-706_E03,CURxCUR_frozen
a550962-4418532-051222-706_E05,CURxCUR_frozen
a550962-4418532-051222-706_E07,CURxCUR_frozen
a550962-4418532-051222-706_E09,CURxCUR_frozen
a550962-4418532-051222-706_E11,CURxCUR_frozen
a550962-4418532-051222-706_E13,CURxCUR_frozen
a550962-4418532-051222-706_E15,CURxCUR_frozen
a550962-4418532-051222-706_E17,CURxCUR_frozen
a550962-4418532-051222-706_E19,CURxCUR_frozen
a550962-4418532-051222-706_E21,CURxCUR_frozen
a550962-4418532-051222-706_E23,CURxCUR_frozen
a550962-4418532-051222-706_G01,CURxCUR_frozen
a550962-4418532-051222-706_G03,CURxCUR_frozen
a550962-4418532-051222-706_G05,CURxCUR_frozen
a550962-4418532-051222-706_G07,CURxCUR_frozen
a550962-4418532-051222-706_G09,CURxCUR_frozen
a550962-4418532-051222-706_G11,CURxCUR_fresh
a550962-4418532-051222-706_G13,CURxCUR_fresh
a550962-4418532-051222-706_G21,CURxFL
a550962-4418532-051222-706_G23,CURxFL
a550962-4418532-051222-706_I01,CURxFL
a550962-4418532-051222-706_I03,CURxFL
a550962-4418532-051222-706_I05,CURxFL
a550962-4418532-051222-706_I07,CURxFL
a550962-4418532-051222-706_I09,CURxFL
a550962-4418532-051222-706_I11,CURxFL
a550962-4418532-051222-706_I13,CURxFL
a550962-4418532-051222-706_I15,CURxFL
a550962-4418532-051222-706_I17,CURxFL
a550962-4418532-051222-706_I19,CURxFL
a550962-4418532-051222-706_I21,CURxFL
a550962-4418532-051222-706_I23,CURxFL
a550962-4418532-051222-706_K03,CURxFL
a550962-4418532-051222-706_K07,CURxFL
a550962-4418532-051222-706_K09,CURxFL
a550962-4418532-051222-706_K11,CURxFL
a550962-4418532-051222-706_K13,CURxPR
a550962-4418532-051222-706_K15,CURxPR
a550962-4418532-051222-706_K17,CURxPR
a550962-4418532-051222-706_K19,CURxPR
a550962-4418532-051222-706_K21,CURxPR
a550962-4418532-051222-706_K23,CURxPR
a550962-4418532-051222-706_M01,CURxPR
a550962-4418532-051222-706_M03,CURxPR
a550962-4418532-051222-706_M05,CURxPR
a550962-4418532-051222-706_M07,CURxPR
a550962-4418532-051222-706_M09,CURxCUR_fresh
a550962-4418532-051222-706_M11,CURxCUR_fresh
a550962-4418532-051222-706_M13,CURxCUR_fresh
a550962-4418532-051222-706_M15,CURxCUR_fresh
a550962-4418532-051222-706_M17,CURxCUR_fresh
a550962-4418532-051222-706_M19,CURxCUR_fresh
a550962-4418532-051222-706_M21,FLxFL
a550962-4418532-051222-706_M23,FLxFL
a550962-4418532-051222-706_O01,CURxFL
a550962-4418532-051222-706_O03,CURxFL
a550962-4418532-051222-706_O05,CURxFL
a550962-4418532-051222-706_O07,CURxFL
a550962-4418532-051222-706_O09,CURxFL
a550962-4418532-051222-706_O11,CURxFL
a550962-4418532-051222-706_O17,CURxFL
a550962-4418532-051222-706_O19,CURxFL
a550962-4420485-051222-874_A01,CURxFL
a550962-4420485-051222-874_A03,CURxFL
a550962-4420485-051222-874_A07,CURxPR
a550962-4420485-051222-874_A09,CURxPR
a550962-4420485-051222-874_A13,CURxPR
a550962-4420485-051222-874_A15,CURxCUR_frozen
a550962-4420485-051222-874_A17,CURxCUR_fresh
a550962-4420485-051222-874_A19,CURxCUR_fresh
a550962-4420485-051222-874_A21,CURxCUR_fresh
a550962-4420485-051222-874_A23,CURxCUR_frozen
a550962-4420485-051222-874_C01,CURxFL
a550962-4420485-051222-874_C03,CURxFL
a550962-4420485-051222-874_C05,CURxFL
a550962-4420485-051222-874_C09,CURxPR
a550962-4420485-051222-874_C11,CURxPR
a550962-4420485-051222-874_C15,CURxCUR_frozen
a550962-4420485-051222-874_C17,CURxCUR_fresh
a550962-4420485-051222-874_C21,CURxCUR_fresh
a550962-4420485-051222-874_C23,CURxCUR_frozen
a550962-4420485-051222-874_E01,CURxFL
a550962-4420485-051222-874_E03,CURxFL
a550962-4420485-051222-874_E07,CURxPR
a550962-4420485-051222-874_E09,CURxPR
a550962-4420485-051222-874_E11,CURxPR
a550962-4420485-051222-874_E13,CURxPR
a550962-4420485-051222-874_E17,CURxCUR_fresh
a550962-4420485-051222-874_E19,CURxCUR_fresh
a550962-4420485-051222-874_E21,CURxCUR_fresh
a550962-4420485-051222-874_G03,CURxFL
a550962-4420485-051222-874_G05,CURxPR
a550962-4420485-051222-874_G07,CURxPR
a550962-4420485-051222-874_G09,CURxPR
a550962-4420485-051222-874_G11,CURxPR
a550962-4420485-051222-874_G15,CURxCUR_frozen
a550962-4420485-051222-874_G17,CURxCUR_fresh
a550962-4420485-051222-874_G23,CURxFL
a550962-4420485-051222-874_I03,CURxFL
a550962-4420485-051222-874_I05,CURxPR
a550962-4420485-051222-874_I07,CURxPR
a550962-4420485-051222-874_I11,CURxPR
a550962-4420485-051222-874_I13,CURxCUR_frozen
a550962-4420485-051222-874_I15,CURxCUR_frozen
a550962-4420485-051222-874_I17,CURxCUR_fresh
a550962-4420485-051222-874_I19,CURxCUR_fresh
a550962-4420485-051222-874_I21,CURxCUR_fresh
a550962-4420485-051222-874_I23,CURxFL
a550962-4420485-051222-874_K01,CURxFL
a550962-4420485-051222-874_K03,CURxFL
a550962-4420485-051222-874_K05,CURxPR
a550962-4420485-051222-874_K07,CURxPR
a550962-4420485-051222-874_K09,CURxPR
a550962-4420485-051222-874_K13,CURxCUR_frozen
a550962-4420485-051222-874_K15,CURxCUR_frozen
a550962-4420485-051222-874_K17,CURxCUR_fresh
a550962-4420485-051222-874_K19,CURxCUR_fresh
a550962-4420485-051222-874_K21,CURxCUR_frozen
a550962-4420485-051222-874_K23,CURxFL
a550962-4420485-051222-874_M05,CURxPR
a550962-4420485-051222-874_M09,CURxPR
a550962-4420485-051222-874_M13,CURxCUR_frozen
a550962-4420485-051222-874_M15,CURxCUR_frozen
a550962-4420485-051222-874_M19,CURxCUR_fresh
a550962-4420485-051222-874_M21,CURxCUR_frozen
a550962-4420485-051222-874_M23,FLxFL
a550962-4420485-051222-874_O01,CURxFL
a550962-4420485-051222-874_O05,CURxPR
a550962-4420485-051222-874_O07,CURxPR
a550962-4420485-051222-874_O11,
a550962-4420485-051222-874_O13,CURxCUR_frozen
a550962-4420485-051222-874_O15,CURxCUR_frozen
a550962-4420485-051222-874_O17,CURxCUR_fresh
a550962-4420485-051222-874_O19,CURxCUR_fresh
a550962-4420485-051222-874_O21,CURxCUR_frozen
a550962-4420485-051222-874_O23,FLxFL
id,pop