IID	Change.in.BW	Change.in.2D.SA	Change.in.Fv.Fm	Change.in.NPQmax	Change.in.ETRmax
a550962-4418532-051222-706_A03	0.002087065	0.021525822	-0.259	0.05	-15.7
a550962-4418532-051222-706_A05	0.001382122	0.004714976	-0.195	0.113	-15.1
a550962-4418532-051222-706_A07	0.00185144	0.017200913	-0.178	0.041	-11.8
a550962-4418532-051222-706_A09	0.001546486	0.006149758	-0.3	0.073	-16.4
a550962-4418532-051222-706_A11	0.00137048	0.00363285	-0.209	0.084	-12.1
a550962-4418532-051222-706_A15	0.002329072	0.023961353	-0.213	0.094	-14.8
a550962-4418532-051222-706_A19	0.001514188	0.016187793	-0.176	0.041	-13.2
a550962-4418532-051222-706_A21	0.002065694	0.003384977	-0.112	0.074	-6.1
a550962-4418532-051222-706_A23	0.00211884	0.00700939	-0.138	0.096	-15.6
a550962-4418532-051222-706_C01	0.001773911	0.007248826	-0.046	0.132	-9.5
a550962-4418532-051222-706_C03	0.001367249	0	-0.052	0.108	-5.1
a550962-4418532-051222-706_C05	0.000844627	0.01199061	-0.091	0.04	-13.2
a550962-4418532-051222-706_C07	0.001369658	0.011266667	-0.069	0.137	-7.2
a550962-4418532-051222-706_C11	0.001084208	0	-0.182	0.101	-12.3
a550962-4418532-051222-706_C13	0.001595445	0.005751174	-0.236	0.065	-20.9
a550962-4418532-051222-706_C17	0.002744666	0.004737089	-0.193	-0.014	-15.6
a550962-4418532-051222-706_C19	0.001536328	0.013666667	-0.137	0.158	-12.4
a550962-4418532-051222-706_C21	0.001424717	0.009171429	-0.094	0.094	-15.7
a550962-4418532-051222-706_C23	0.001335175	0.005203704	-0.286	0.088	-13.1
a550962-4418532-051222-706_E01	0.001107879	-0.01015942	-0.25	0.098	-12.9
a550962-4418532-051222-706_E03	0.001015576	-0.01189372	-0.033	0.041	-2.6
a550962-4418532-051222-706_E05	0.001804917	-0.000869565	-0.055	0.078	-8.1
a550962-4418532-051222-706_E07	0.001647051	-0.015113095	0	0	0
a550962-4418532-051222-706_E09	0	-0.00584058	-0.059	0.057	-8.9
a550962-4418532-051222-706_E11	0.001161816	0.000671498	-0.065	0.046	-9.6
a550962-4418532-051222-706_E13	0.002725413	0.000821256	-0.125	0.091	-12.8
a550962-4418532-051222-706_E15	0.00149928	-0.012043478	-0.066	0.055	-9.1
a550962-4418532-051222-706_E17	0.001619338	-0.013120773	-0.161	0.034	-15
a550962-4418532-051222-706_E19	0.000933049	0.002217391	-0.054	0.011	-7.8
a550962-4418532-051222-706_E21	0.001564713	0.010555556	-0.085	0.126	-6.4
a550962-4418532-051222-706_E23	0.002666127	0.013615741	0	0	0
a550962-4418532-051222-706_G01	0.000345152	-0.001074074	0	0	0
a550962-4418532-051222-706_G03	-0.002165017	0.012203704	0	0	0
a550962-4418532-051222-706_G05	0.001501455	0.019194444	-0.139	0.161	-10.8
a550962-4418532-051222-706_G07	0.002029287	0.013439815	-0.036	0.093	-4.7
a550962-4418532-051222-706_G09	0.002285701	0.009027778	0	0	0
a550962-4418532-051222-706_G11	0.001187931	-0.000681159	-0.147	0.087	-12.24
a550962-4418532-051222-706_G13	0.001473487	0.001318841	-0.123	0.031	-9.3
a550962-4418532-051222-706_G21	0.001583118	0.003357143	-0.168	0.129	-10.5
a550962-4418532-051222-706_G23	0.001267724	-1.00E-04	-0.13	0.159	-7.9
a550962-4418532-051222-706_I01	0.001311287	0.001895238	-0.196	0.175	-12.2
a550962-4418532-051222-706_I03	0.000598299	-0.002271429	-0.137	0.156	-7.8
a550962-4418532-051222-706_I05	0.001042321	-0.012933333	-0.142	0.148	-4.9
a550962-4418532-051222-706_I07	0.001199616	-0.000547619	-0.196	0.154	-10.3
a550962-4418532-051222-706_I09	0.001221321	-0.003661905	-0.191	0.169	-11
a550962-4418532-051222-706_I11	0.001294166	0.000866667	-0.139	0.14	-9
a550962-4418532-051222-706_I13	0.001860848	0.007699531	-0.172	0.092	-9.1
a550962-4418532-051222-706_I15	0.001307101	0.005079812	-0.162	0.091	-7.7
a550962-4418532-051222-706_I17	0.00151349	0.008821596	-0.196	0.132	-10
a550962-4418532-051222-706_I19	0.001287955	0.017103286	-0.19	0.106	-7.6
a550962-4418532-051222-706_I21	0.001994713	0.006821596	-0.192	0.142	-12.6
a550962-4418532-051222-706_I23	0.002229216	0.013474178	-0.188	0.091	-8.5
a550962-4418532-051222-706_K03	0.002209825	0.033464789	-0.183	0.087	-8.1
a550962-4418532-051222-706_K07	0.001742554	0.009657534	-0.203	0.006	-15.8
a550962-4418532-051222-706_K09	0.00064956	-0.000719048	-0.115	0.148	-4.5
a550962-4418532-051222-706_K11	0.001918066	1.43E-05	-0.183	0.161	-9.3
a550962-4418532-051222-706_K13	0.001629697	-0.001119048	-0.196	0.077	-10.5
a550962-4418532-051222-706_K15	0.00156937	-0.002480952	-0.215	0.034	-17.9
a550962-4418532-051222-706_K17	0.001125481	0.002557143	-0.303	0.052	-14
a550962-4418532-051222-706_K19	0.001669401	-0.001852381	-0.199	0.042	-10.5
a550962-4418532-051222-706_K21	0.001756995	-0.001371429	-0.124	0.059	-9
a550962-4418532-051222-706_K23	0.005705097	0.009214286	-0.157	-0.012	-12.2
a550962-4418532-051222-706_M01	0.001465929	0.000585714	-0.217	0.055	-10.4
a550962-4418532-051222-706_M03	0.004069322	0.015180952	-0.329	0.095	-19.4
a550962-4418532-051222-706_M05	0.001350134	-0.0018	-0.237	0.099	-15.9
a550962-4418532-051222-706_M07	0.001349529	0.029928571	-0.173	0.127	-10.4
a550962-4418532-051222-706_M09	0.00134034	0.004086957	-0.176	0.063	-22.5
a550962-4418532-051222-706_M11	0.001139245	0.002178744	-0.14	0.024	-9.9
a550962-4418532-051222-706_M13	0.001061214	0.00362037	-0.069	0.066	-6.1
a550962-4418532-051222-706_M15	0.001147003	-0.010638889	-0.146	0.053	-9.5
a550962-4418532-051222-706_M17	0.001034624	0.004386473	-0.156	0.027	-13.6
a550962-4418532-051222-706_M19	0.001633103	0.004376812	-0.154	0.047	-16.4
a550962-4418532-051222-706_M21	0.001479668	0.006539906	-0.051	0.124	-13.1
a550962-4418532-051222-706_M23	0.001066514	0.013619048	-0.119	0.161	-10
a550962-4418532-051222-706_O01	0.00064018	0.004061905	-0.064	0.117	-9.8
a550962-4418532-051222-706_O03	0.001413585	0.004497653	-0.151	0.121	-8.7
a550962-4418532-051222-706_O05	0.000792638	-0.00586385	-0.153	0.099	-11
a550962-4418532-051222-706_O07	0.001752237	0.003309859	-0.154	0.108	-9.7
a550962-4418532-051222-706_O09	0.001393669	0.0059	-0.202	0.158	-16.7
a550962-4418532-051222-706_O11	0.001615313	0.011816901	-0.169	0.073	-5.9
a550962-4418532-051222-706_O17	0.002100816	0.016557078	-0.077	0.003	-7.1
a550962-4418532-051222-706_O19	0.001032905	0.011840183	-0.072	0.03	-11
a550962-4420485-051222-874_A01	0.001139851	0.03373516	-0.059	0.046	-6.8
a550962-4420485-051222-874_A03	0.002420224	0.005366667	-0.11	0.148	-12.1
a550962-4420485-051222-874_A07	0	0.004457143	-0.196	0.085	-13.7
a550962-4420485-051222-874_A09	0.001359997	0.007441315	-0.206	0.011	-17.4
a550962-4420485-051222-874_A13	0.002013624	0.016557143	0	0	0
a550962-4420485-051222-874_A15	0.001554728	0.008088235	-0.109	0.133	-6.4
a550962-4420485-051222-874_A17	0.001780892	0.01022381	-0.122	0.034	-13.7
a550962-4420485-051222-874_A19	0.001439423	-0.020282407	-0.139	0.123	-9.5
a550962-4420485-051222-874_A21	0.001260865	0.002152381	-0.15	0.021	-12.7
a550962-4420485-051222-874_A23	0.001835324	0.003800926	-0.153	0.027	-12
a550962-4420485-051222-874_C01	0.001387742	0.006931507	-0.103	0.074	-14.5
a550962-4420485-051222-874_C03	0.001846467	0.008457143	-0.203	0.117	-19.2
a550962-4420485-051222-874_C05	0.002694892	0.002589041	-0.173	0.022	-12.7
a550962-4420485-051222-874_C09	0.00197294	0.010732394	-0.249	0.069	-27.3
a550962-4420485-051222-874_C11	0.001619837	0.008561644	-0.212	0.015	-8.9
a550962-4420485-051222-874_C15	0.002307292	0.008607843	-0.239	0.129	-17.6
a550962-4420485-051222-874_C17	0.001633217	0.008041667	-0.168	0.097	-12
a550962-4420485-051222-874_C21	0	0	0	0	0
a550962-4420485-051222-874_C23	0.001772046	0.003648148	-0.215	0.045	-11.8
a550962-4420485-051222-874_E01	0.001476846	0.00090411	-0.113	0.027	-10.1
a550962-4420485-051222-874_E03	0.00154018	0.001547619	-0.253	0.079	-16.1
a550962-4420485-051222-874_E07	0.002509845	-0.009333333	-0.175	0.078	-10.7
a550962-4420485-051222-874_E09	0.001828516	0.016192488	-0.194	0.053	-14.6
a550962-4420485-051222-874_E11	0.002110436	0.015634703	-0.145	0.046	-15.9
a550962-4420485-051222-874_E13	0.002441379	-0.001971429	-0.221	0.108	-8.3
a550962-4420485-051222-874_E17	0.001194839	-6.94E-05	-0.155	0.057	-12.6
a550962-4420485-051222-874_E19	0.00178258	0	-0.113	0.139	-8.2
a550962-4420485-051222-874_E21	0.001349594	0.01162381	-0.125	0.097	-13.2
a550962-4420485-051222-874_G03	0.001429027	0.006319048	-0.124	0.16	-11.7
a550962-4420485-051222-874_G05	0.001362813	-0.003961905	-0.121	0.178	-7.1
a550962-4420485-051222-874_G07	0.001372964	0.01192381	-0.145	0.045	-8.6
a550962-4420485-051222-874_G09	0.001390406	0.008948357	-0.18	0.024	-14.6
a550962-4420485-051222-874_G11	0.001484938	1.37E-05	-0.19	0.03	-10.4
a550962-4420485-051222-874_G15	0.00160714	-0.000504902	0	0	0
a550962-4420485-051222-874_G17	0.002109857	0.023476852	-0.178	0.025	-12.8
a550962-4420485-051222-874_G23	0.001960591	0.020877934	-0.184	0.145	-10
a550962-4420485-051222-874_I03	0.00145706	0.005085714	-0.158	0.073	-11.6
a550962-4420485-051222-874_I05	0.001457423	0.010857143	0	0	0
a550962-4420485-051222-874_I07	0.001563072	-0.005419048	-0.116	0.048	-7.9
a550962-4420485-051222-874_I11	0.002927521	0.014104762	0	0	0
a550962-4420485-051222-874_I13	0.001789485	0.007430556	-0.214	0.028	-11
a550962-4420485-051222-874_I15	0.001273973	0	-0.13	0.092	-11.3
a550962-4420485-051222-874_I17	0.001540831	0.021023148	-0.143	0.118	-14.3
a550962-4420485-051222-874_I19	0.000965631	0.002032407	-0.107	0.075	-11.7
a550962-4420485-051222-874_I21	0	-0.027842857	0	0	0
a550962-4420485-051222-874_I23	0.001890238	0.009295775	-0.133	0.082	-6.9
a550962-4420485-051222-874_K01	0.001698236	0.002765258	-0.25	0.068	-7.8
a550962-4420485-051222-874_K03	0.002088094	0.009464789	-0.189	0.102	-9.2
a550962-4420485-051222-874_K05	0.002133867	-0.001909524	-0.303	0.096	-9
a550962-4420485-051222-874_K07	0.001689739	0.009314286	-0.106	0.06	-9.9
a550962-4420485-051222-874_K09	0.001824717	-0.002985915	-0.168	0.06	-10.6
a550962-4420485-051222-874_K13	0.001946745	0.005666667	-0.272	0.04	-13.2
a550962-4420485-051222-874_K15	0.001223106	0.004397059	0	0	0
a550962-4420485-051222-874_K17	0.000831153	0.000375	-0.276	0.036	-13.7
a550962-4420485-051222-874_K19	0.001070633	0	-0.083	0.083	-12
a550962-4420485-051222-874_K21	0.001758109	0.004898148	-0.17	0.08	-8.9
a550962-4420485-051222-874_K23	0.002103565	-0.000461905	-0.201	0.033	-11.6
a550962-4420485-051222-874_M05	0.003558278	0.01372381	0	0	0
a550962-4420485-051222-874_M09	0.001609916	0.024366197	-0.165	0.094	-14.8
a550962-4420485-051222-874_M13	0.004390697	0.030902778	-0.175	0.056	-12.2
a550962-4420485-051222-874_M15	0.001761528	0.003671569	-0.177	0.093	-11.8
a550962-4420485-051222-874_M19	0.001473151	0.006195238	-0.166	0.059	-14.7
a550962-4420485-051222-874_M21	0.00255124	0.026467593	-0.144	0.102	-3.3
a550962-4420485-051222-874_M23	0.002384685	0.016509259	-0.237	0.103	-15.7
a550962-4420485-051222-874_O01	0.001440352	0.005558685	-0.22	0.059	-13.7
a550962-4420485-051222-874_O05	0	0	0	0	0
a550962-4420485-051222-874_O07	0.001604401	0.00197619	-0.199	0.103	-12.2
a550962-4420485-051222-874_O11	0.001801135	0.018561905	-0.188	0.172	-6.3
a550962-4420485-051222-874_O13	0.002508627	0.013408451	-0.191	0.133	-17.3
a550962-4420485-051222-874_O15	0.001754922	0.012519608	0	0	0
a550962-4420485-051222-874_O17	0.001397275	-0.017439815	-0.132	0.096	-9.1
a550962-4420485-051222-874_O19	0.001604899	0.011309524	-0.083	0.105	-15.5
a550962-4420485-051222-874_O21	0.001206683	0.012925926	-0.189	0.04	-8.5
a550962-4420485-051222-874_O23	-0.00572176	0.008546296	-0.286	0.064	-14